source,model_id,lineage,eligible_screen_ids,EP300_matrix_value,EP300_status
Avana,ACH-000346,Lymphoid,SC-000346.AV01,0,matrix_intact
Avana,ACH-000348,Skin,SC-000348.AV01,0,matrix_intact
Avana,ACH-000350,Bowel,SC-000350.AV01,0,matrix_intact
Avana,ACH-000352,Breast,SC-000352.AV01,0,matrix_intact
Avana,ACH-000355,Lung,SC-000355.AV01,0,matrix_intact
Avana,ACH-000356,Esophagus/Stomach,SC-000356.AV01,0,matrix_intact
Avana,ACH-000359,Bone,SC-000359.AV01,0,matrix_intact
Avana,ACH-000361,Liver,SC-000361.AV01,0,matrix_intact
Avana,ACH-000362,Myeloid,SC-000362.AV01,0,matrix_intact
Avana,ACH-000363,Lymphoid,SC-000363.AV01,0,matrix_intact
Avana,ACH-000364,Bone,SC-000364.AV01,0,matrix_intact
Avana,ACH-000365,Lymphoid,SC-000365.AV01,0,matrix_intact
Avana,ACH-000366,Peripheral Nervous System,SC-000366.AV01,0,matrix_intact
Avana,ACH-000368,CNS/Brain,SC-000368.AV01,0,matrix_intact
Avana,ACH-000370,CNS/Brain,SC-000370.AV01,0,matrix_intact
Avana,ACH-000371,Lymphoid,SC-000371.AV01,1,damaging
Avana,ACH-000374,Breast,SC-000374.AV01,0,matrix_intact
Avana,ACH-000375,Kidney,SC-000375.AV01,0,matrix_intact
Avana,ACH-000376,CNS/Brain,SC-000376.AV01,0,matrix_intact
Avana,ACH-000377,Ampulla of Vater,SC-000377.AV01,0,matrix_intact
Avana,ACH-000378,Lung,SC-000378.AV01,0,matrix_intact
Avana,ACH-000381,Bowel,SC-000381.AV01,0,matrix_intact
Avana,ACH-000383,Esophagus/Stomach,SC-000383.AV01,0,matrix_intact
Avana,ACH-000385,Kidney,SC-000385.AV01,0,matrix_intact
Avana,ACH-000387,Myeloid,SC-000387.AV01,0,matrix_intact
Avana,ACH-000389,CNS/Brain,SC-000389.AV01,0,matrix_intact
Avana,ACH-000390,Lung,SC-000390.AV01,0,matrix_intact
Avana,ACH-000391,Bone,SC-000391.AV01,0,matrix_intact
Avana,ACH-000393,Liver,SC-000393.AV01,0,matrix_intact
Avana,ACH-000395,Lung,SC-000395.AV01,0,matrix_intact
Avana,ACH-000396,Bladder/Urinary Tract,SC-000396.AV01,0,matrix_intact
Avana,ACH-000397,Uterus,SC-000397.AV01,0,matrix_intact
