model_id,source,tissue,raw_efficacy,raw_growth_rate,efficacy_percentile,growth_percentile
ACH-000132,Avana,Ovary,0.9671911427133348,1.1301098534432383,0.9523809523809523,0.7619047619047619
ACH-000291,Avana,Ovary,0.8954313567772723,1.1046547458950011,0.6190476190476191,0.6666666666666666
ACH-000308,Avana,Ovary,0.9580541092061502,1.1103766680633151,0.8571428571428571,0.7142857142857143
ACH-000524,Avana,Ovary,0.8392201389088569,0.8331437064270442,0.38095238095238093,0.19047619047619047
ACH-000527,Avana,Ovary,0.8905614928189022,0.972552663696514,0.5238095238095238,0.2857142857142857
ACH-000584,Avana,Ovary,0.972572294980248,1.041869399588673,1.0,0.6190476190476191
ACH-000657,Avana,Ovary,0.893875601485677,1.1962044309726072,0.5714285714285714,0.9523809523809523
ACH-000663,Avana,Ovary,0.8244934131588517,0.7500994022103485,0.2857142857142857,0.047619047619047616
ACH-000688,Avana,Ovary,0.4171254682659606,0.7355731104796395,0.047619047619047616,0.0
ACH-000696,Avana,Ovary,0.746604880979922,0.876565741859656,0.19047619047619047,0.23809523809523808
ACH-000713,Avana,Ovary,0.7427455487512977,1.131789260600019,0.14285714285714285,0.8095238095238095
ACH-000719,Avana,Ovary,0.8441753179253023,0.7774148210948509,0.42857142857142855,0.14285714285714285
ACH-000811,Avana,Ovary,0.7783517256867745,0.754302257754835,0.23809523809523808,0.09523809523809523
ACH-000885,Avana,Ovary,0.8980233934831838,1.0220535691662096,0.6666666666666666,0.47619047619047616
ACH-000906,Avana,Ovary,0.9063344227322944,1.0319662264288514,0.7142857142857143,0.5238095238095238
ACH-000936,Avana,Ovary,0.835337345523059,1.0176875277935742,0.3333333333333333,0.42857142857142855
ACH-000947,Avana,Ovary,0.933249973532939,1.1359655068155416,0.7619047619047619,0.8571428571428571
ACH-001151,Avana,Ovary,0.93939825000108,1.0399811465480928,0.8095238095238095,0.5714285714285714
ACH-001374,Avana,Ovary,0.2390631450197297,0.9925804292268426,0.0,0.3333333333333333
ACH-001418,Avana,Ovary,0.9621410419905372,1.1556053701963205,0.9047619047619048,0.9047619047619048
ACH-001630,Avana,Ovary,0.8757009560086682,1.1973229722350411,0.47619047619047616,1.0
ACH-000007,KY,Large Intestine,0.9429071555030408,1.0262485090036295,0.4827586206896552,0.6896551724137931
ACH-000009,KY,Large Intestine,0.9662079864876504,0.9397630893452152,0.896551724137931,0.5172413793103449
ACH-000249,KY,Large Intestine,0.9630638296173248,1.0628569899643416,0.8275862068965517,0.8275862068965517
ACH-000252,KY,Large Intestine,0.9690951432704804,0.8373450527178684,0.9310344827586207,0.10344827586206896
ACH-000350,KY,Large Intestine,0.6819072237952212,0.7779211091466885,0.0,0.034482758620689655
ACH-000381,KY,Large Intestine,0.8480965375897873,0.6762769359799053,0.034482758620689655,0.0
ACH-000421,KY,Large Intestine,0.9233425341329078,0.8808537874599759,0.1724137931034483,0.27586206896551724
ACH-000501,KY,Large Intestine,0.8788294422872824,0.8450320789064888,0.06896551724137931,0.1724137931034483
ACH-000532,KY,Large Intestine,0.923431419006909,0.8316638424086765,0.20689655172413793,0.06896551724137931
